"_SITE_TITLE";"Social Network"
"Photo";"Foto"
"of";"of"
"Next";"Successiva"
"Prev";"Prev"
"By";"Di"
"Tagged:";"Taggato:"
"Added";"Aggiunto"
"Add Tag";"Tagga"
"Quote";"Quota"
"Edit";"Modifica"
"%s total view";"%s visita totali";"%s visite totali"
"%s total member";"%s membro iscritto";"%s membri iscritti"
"Last updated %s";"Ultimo aggiornamento %s"
"%s group invite";"%s group invite";"%s group invites"
"This group has %s member waiting for approval or waiting for an invite response.";"This group has %s member waiting for approval or waiting for an invite response.";"This group has %s members waiting for approval or waiting for an invite response."
"&#187; Discussions";"&#187; Discussioni"
"Back to Group";"Back to Group"
"reply";"risposta";"risposte"
"Last Post";"Ultimo Post"
"Back to Topics";"Torna ai topics"
"Post Reply";"Invia Risposta"
"Make Sticky";"Attacca Etichetta"
"Remove Sticky";"Rimuovi etichetta"
"Open";"Apri"
"Rename";"Rinomina"
"This topic has been closed.";"This topic has been closed."
"Post New Topic";"Inserisci Nuovo Topic"
"View All";"View All"
"No topics have been posted in this group yet.";"No topics have been posted in this group yet."
"total views";"totale visite"
"total members";"total members"
"last updated";"ultimo aggiornamento"
"Remove Member";"Rimuovi iscritto."
"Approve Request";"Approve Request"
"Reject Request";"Reject Request"
"Cancel Invite";"Cancella Invito"
"Demote Officer";"Demote Officer"
"Make Officer";"Make Officer"
"Previous";"Previous"
"No photos have been uploaded to this group yet.";"No photos have been uploaded to this group yet."
"View All Photos";"Vedi Tutte Le Foto"
"Upload Photos";"Carica Foto"
"The image you selected was too large.";"The image you selected was too large."
"Group joined";"Group joined"
"Group left";"Group left"
"Group membership request sent";"Group membership request sent"
"Group membership request cancelled.";"Group membership request cancelled."
"Invalid Data";"Invalid Data"
"You have accepted the invite to the group %s";"You have accepted the invite to the group %s"
"You have ignored the invite to the group %s";"You have ignored the invite to the group %s"
"Member Promoted";"Member Promoted"
"Member Demoted";"Member Demoted"
"Group member removed.";"Membro del Gruppo Rimosso."
"Members invited";"Members invited"
"Group request approved";"Group request approved"
"Member title changed";"Member title changed"
"Changes saved";"Changes saved"
"Photo deleted";"Foto eliminata"
"An error occurred.";"An error occurred"
"Post deleted.";"Post deleted."
"This has been closed for posting.";"This has been closed for posting."
"Topic renamed.";"Topic renamed."
"Topic deleted.";"Topic deleted."
"All My Groups";"Tutti i miei Gruppi"
"Only Groups I Lead";"Solo gruppi che ho presentato"
"Search:";"Cerca:"
"View:";"Vedi:"
"Accept Group Invitation";"Accept Group Invitation"
"Would you like to join this group?";"Would you like to join this group?"
"Approve Group Membership Request";"Approve Group Membership Request"
"Would you like to approve the request for membership in this group?";"Would you like to approve the request for membership in this group?"
"Cancel Group Membership Request";"Cancel Group Membership Request"
"Would you like to cancel your request for membership in this group?";"Would you like to cancel your request for membership in this group?"
"Demote Member";"Demote Member"
"Are you sure you want to demote this member from officer?";"Are you sure you want to demote this member from officer?"
"Edit Member Title";"Modifica Ruolo Iscritto"
"Enter a special title for this person.";"Attribuisci un Ruolo Speciale a questa persona."
"Are you sure you want to leave this group?";"Are you sure you want to leave this group?"
"Promote Member";"Promote Member"
"Are you sure you want to promote this member to officer?";"Are you sure you want to promote this member to officer?"
"Reject Group Invitation";"Reject Group Invitation"
"Would you like to reject the invitation to this group?";"Would you like to reject the invitation to this group?"
"Reject Invitation";"Reject Invitation"
"Are you sure you want to remove this member from the group?";"Sei certo di voler elminare dal gruppo questo membro?"
"Request Group Membership";"Request Group Membership"
"Would you like to request membership in this group?";"Would you like to request membership in this group?"
"Send Request";"Send Request"
"Delete Group Photo";"Rimuovi Foto del Gruppo"
"Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
"Delete Photo";"Elimina Foto"
"Edit Photo";"Modifica Foto"
"Group Info";"Info Gruppo"
"Edit Group Details";"Modifica Dettagli Gruppo"
"Edit Group Style";"Modifica Stile Gruppo"
"Share Group";"Condividi Gruppo"
"Add Events";"Aggiungi Eventi"
"No events have been added to this group yet.";"No events have been added to this group yet."
"Add New Photos";"Aggiungi Nuova Foto"
"Choose photos on your computer to add to this album. (2MB maximum)";"Seleziona dal tuo computer le foto aggiungere a questo album. (max 2MB)"
"Save Photos";"Salva Foto"
"Reply";"Reply"
"Body";"Body"
"Delete Post";"Delete Post"
"Are you sure you want to delete this post?";"Are you sure you want to delete this post?"
"Edit Post";"Modifica Post"
"Post Discussion Topic";"Posta Nuovo Argomento Di Discussione"
"Delete Topic";"Rimuovi Topic"
"Are you sure you want to delete this topic?";"Sei certo di voler eliminare questo topic?"
"Rename Topic";"Rinomina Topic"
"Are you sure you want to delete this group?";"Sei certo di voler eliminare questo gruppo?"
"Group Name";"Nome del Gruppo"
"Profile Photo";"Foto del Profilo"
"Category";"Categoria"
"Include in search results?";"Includi tra i risultati delle ricerche?"
"Yes, include in search results.";"Si, includi tra i risultati delle ricerche."
"No, hide from search results.";"No, nascondi nei risultati delle ricerche."
"Let members invite others?";"I membri possono invitare altri?"
"Yes, members can invite other people.";"Si, i membri possono invitare altre persone."
"No, only officers can invite other people.";"No, solo gli amministratori possono invitare altre persone."
"Approve members?";"Approvazione membri?"
"When people try to join this group, should they be allowed to join immediately, or should they be forced to wait for approval?";"Le persone che si iscrivono al gruppo vengono aggiunte immediatamente o devono essere approvate?"
"New members can join immediately.";"I nuovi membri vengono aggiunti immediatamente."
"New members must be approved.";"I nuovi membri devono essere approvati."
"View Privacy";"Vedi Privacy"
"Who may see this group?";"Chi può vedere questo gruppo?"
"Everyone";"Tutti"
"Registered Members";"Utenti Registrati"
"Members, Officers, and Owner";"Membri, Fondatore e Amministratori"
"Comment Privacy";"Privacy Commenti"
"Who may post on this group's wall?";"Chi può postare nella bacheca di questo gruppo?"
"Officers and Owner Only";"Solo Fondatore e Amministratori"
"Photo Uploads";"Caricamento Foto"
"Who may upload photos to this group?";"Chi può caricare foto per questo gruppo?"
"Members, Officers, and Owner Only";"Solo Membri, Amministratori e Fondatore"
"Invite Members";"Invita Iscritti"
"Choose the people you want to invite to this group.";"Scegli le persone che vuoi invitare in questo gruppo."
"Choose All Friends";"Tutti I Tuoi Amici"
"Group Styles";"Group Styles"
"Custom Group Styles";"Custom Group Styles"
"You can change the colors, fonts, and styles of your group by adding CSS code below. The contents of the text area below will be output between <style> tags on your group.";"You can change the colors, fonts, and styles of your group by adding CSS code below. The contents of the text area below will be output between <style> tags on your group."
"%1$s has invited you to the group %2$s";"%1$s has invited you to the group %2$s"
"This group has %1$s member.";"This group has %1$s member.";"This group has %1$s members."
"This group has %1$s member that matched the query ""%2$s"".";"This group has %1$s member that matched the query ""%2$s"".";"This group has %1$s members that matched the query ""%2$s""."
"See Waiting";"See Waiting"
"This group has %s member waiting approval or waiting for a invite response.";"This group has %s member waiting approval or waiting for a invite response."
"ADMIN_ACTIVITY_TYPE_GROUP_CREATE";"Quando viene creato un nuovo gruppo."
"ADMIN_ACTIVITY_TYPE_GROUP_JOIN";"Quando qualcuno si iscrivi ad un gruppo."
"ADMIN_ACTIVITY_TYPE_GROUP_PHOTO_UPLOAD";"Quando una nuovo foto viene caricata da un gruppo."
"ADMIN_ACTIVITY_TYPE_GROUP_TOPIC_CREATE";"Quando un nuovo topic viene creato in un gruppo."
"ADMIN_ACTIVITY_TYPE_GROUP_TOPIC_REPLY";"Quando qualcuno risponde ad un topic in un gruppo."
"ADMIN_ACTIVITY_TYPE_GROUP_ACCEPTED";"Quando la mia richiesta di adesione ad un gruppo è approvata."
"ADMIN_ACTIVITY_TYPE_GROUP_DISCUSSION_REPLY";"Quando qualcuno replica in una discussione a cui ho partecipato."
"ADMIN_ACTIVITY_TYPE_GROUP_DISCUSSION_RESPONSE";"Quando qualcuno replica in una discussione che io ho creato."
"ADMIN_ACTIVITY_TYPE_GROUP_INVITE";"Quando vengo invitato ad aderire ad un gruppo."
"ADMIN_ACTIVITY_TYPE_GROUP_PROMOTE";"Quando nominato Amministratore in un gruppo."
"ADMIN_ACTIVITY_TYPE_LIKE_GROUP";"Quando a qualcuno piace qualcuno dei miei gruppi."
"ADMIN_ACTIVITY_TYPE_LIKED_GROUP";"Quando qualcuno commenta un gruppo che mi piace."
"ADMIN_ACTIVITY_TYPE_COMMENTED_GROUP";"Quando qualcuno commenta un gruppo che ho commentato."
"ADMIN_ACTIVITY_TYPE_COMMENT_GROUP";"Quando qualcuno commenta uno dei miei gruppi."
"_ACTIVITY_ACTIONTYPE_GROUP_CREATE";"Nuovi Gruppi"
"_ACTIVITY_ACTIONTYPE_GROUP_JOIN";"Adesione a gruppo"
"_ACTIVITY_ACTIONTYPE_GROUP_PHOTO_UPLOAD";"Nuova Foto di Gruppi"
"_ACTIVITY_ACTIONTYPE_GROUP_PROMOTE";"Promozione Gruppo"
"_ACTIVITY_ACTIONTYPE_GROUP_TOPIC_CREATE";"Creazione di una nuova discussione in un gruppo."
"_ACTIVITY_ACTIONTYPE_GROUP_TOPIC_REPLY";"Replica in una discussione di un gruppo"
"ACTIVITY_TYPE_COMMENTED_GROUP";"Quando qualcuno commenta lo stesso gruppo che ho commentato io."
"ACTIVITY_TYPE_COMMENT_GROUP";"Quando qualcuno commenta uno dei miei gruppi."
"ACTIVITY_TYPE_LIKED_GROUP";"Quando qualcuno commenta un gruppo che mi piace."
"ACTIVITY_TYPE_LIKE_GROUP";"Quando a qualcuno piace qualcuno dei miei gruppi."
"ACTIVITY_TYPE_GROUP_APPROVE";"Quando qualcuno richiede di aderire ad un gruppo che io ho creato."
"ACTIVITY_TYPE_GROUP_ACCEPTED";"Quando la mia richiesta di adesione ad un gruppo è approvata."
"ACTIVITY_TYPE_GROUP_CREATE";"Quando viene creato un nuovo gruppo."
"ACTIVITY_TYPE_GROUP_DISCUSSION_REPLY";"Quando qualcuno replica in una discussione a cui ho partecipato."
"ACTIVITY_TYPE_GROUP_DISCUSSION_RESPONSE";"Quando qualcuno replica in una discussione che io ho creato."
"ACTIVITY_TYPE_GROUP_INVITE";"Quando vengo invitato ad aderire ad un gruppo."
"ACTIVITY_TYPE_GROUP_JOIN";"Quando un nuovo membro aderisce al gruppo."
"ACTIVITY_TYPE_GROUP_PHOTO_UPLOAD";"Quando una nuova foto viene caricata nella pagina del gruppo."
"ACTIVITY_TYPE_GROUP_PROMOTE";"Quando nominato Amministratore in un gruppo."
"ACTIVITY_TYPE_GROUP_TOPIC_CREATE";"Quando viene creato un nuovo topic nel gruppo."
"ACTIVITY_TYPE_GROUP_TOPIC_REPLY";"Quando qualcuno risponde ad un topic in un gruppo."
"GROUP_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Groups?";"Consenti la visione dei gruppi?"
"GROUP_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let users view groups? If set to no, some other settings on this page may not apply."
"No, do not allow groups to be viewed.";"No, do not allow groups to be viewed."
"Yes, allow viewing and subscription of groups.";"Yes, allow viewing and subscription of groups."
"Yes, allow members to view all groups, even private ones.";"Yes, allow members to view all groups, even private ones."
"Allow Creation of Groups?";"Allow Creation of Groups?"
"GROUP_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let users create groups? If set to no, some other settings on this page may not apply. This is useful if you want users to be able to view groups and manage their subscriptions, but only want certain levels to be able to create groups."
"No, do not allow groups to be created.";"No, do not allow groups to be created."
"Yes, allow creation of groups.";"Yes, allow creation of groups."
"Allow Editing of Groups?";"Allow Editing of Groups?"
"Do you want to let users edit and delete groups?";"Do you want to let users edit and delete groups?"
"No, do not allow groups to be edited.";"No, do not allow groups to be edited."
"Yes, allow  members to edit their own groups.";"Yes, allow  members to edit their own groups."
"Yes, allow members to edit everyone's groups.";"Yes, allow members to edit everyone's groups."
"Group Privacy";"Group Privacy"
"GROUP_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can see their group. If you do not check any options, everyone will be allowed to view groups."
"Group Posting Options";"Group Posting Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can post to their group discussions. If you do not check any options, everyone will be allowed to post."
"Owner Only";"Solo Fondatore"
"Photo Upload Options";"Photo Upload Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHPHOTO_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can upload photos to their groups. If you do not check any options, all members will be allowed to upload."
"My Groups";"I Miei Gruppi"
"Delete Group?";"Elimina Gruppo?"
"Are you sure that you want to delete this group? It will not be recoverable after being deleted.";"Are you sure that you want to delete this group? It will not be recoverable after being deleted."
"Are you sure you want to delete the selected groups?";"Are you sure you want to delete the selected groups?"
"GROUP_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the group entries your users have posted. You can use this page to monitor these groups and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific group entries. Leaving the filter fields blank will show all the group entries on your social network."
"GROUP_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their groups, create the categories below. This feature is useful if you want to list all your users' group that If you have no categories, your users will not be given the option of assigning a group category."
"There are currently no categories.";"There are currently no categories."
"Search Members";"Cerca Iscritti"
"owner";"fondatore"
"officer";"officer"
"Browse Groups";"Sfoglia Gruppi"
"All Group Members";"Tutti i Membri del Gruppo"
"Groups Plugin";"Groups Plugin"
"Manage Groups";"Manage Groups"
"Allow Deletion of Groups?";"Allow Deletion of Groups?"
"Do you want to let members delete groups? If set to no, some other settings on this page may not apply.";"Do you want to let members delete groups? If set to no, some other settings on this page may not apply."
"Yes, allow members to delete their own groups.";"Yes, allow members to delete their own groups."
"No, do not allow members to delete their groups.";"No, do not allow members to delete their groups."
"Allow Commenting on Groups?";"Allow Commenting on Groups?"
"Do you want to let members of this level comment on groups?";"Do you want to let members of this level comment on groups?"
"Yes, allow members to comment on groups.";"Yes, allow members to comment on groups."
"No, do not allow members to comment on groups.";"No, do not allow members to comment on groups."
"Group Profile Discussions";"Discussioni Profilo Gruppo"
"Group Profile Events";"Group Profile Events"
"Group Profile Info";"Group Profile Info"
"Group Profile Members";"Group Profile Members"
"Group Profile Options";"Group Profile Options"
"Group Profile Photo";"Foto del Profilo del Gruppo"
"Group Profile Photos";"Foto Profilo Gruppo"
"Group Profile Status";"Group Profile Status"
"Profile Groups";"Profile Groups"
"Animals";"Animals"
"Business & Finance";"Business & Finance"
"Computers & Internet";"Computers & Internet"
"Cultures & Community";"Cultures & Community"
"Dating & Relationships";"Dating & Relationships"
"Entertainment & Arts";"Intrattenimento & Arte"
"Games";"Games"
"Government & Politics";"Government & Politics"
"Health & Wellness";"Salute & Benessere"
"Hobbies & Crafts";"Hobbies & Crafts"
"Music";"Music"
"Recreation & Sports";"Divertimento & Sports"
"Regional";"Regional"
"Religion & Beliefs";"Religion & Beliefs"
"Schools & Education";"Schools & Education"
"Science";"Science"
"ITEM_TYPE_GROUP";"Grouppi"
"ITEM_TYPE_GROUP_ALBUM";"Album Gruppo"
"ITEM_TYPE_GROUP_PHOTO";"Foto Gruppo"
"ITEM_TYPE_GROUP_TOPIC";"Group Discussion Topic"
"ITEM_TYPE_GROUP_POST";"Group Discussion Post"
"{item:$subject} created a new group:";"{item:$subject} created a new group:"
"{item:$subject} joined the group {item:$object}";"{item:$subject} joined the group {item:$object}"
"{item:$subject} added {var:$count} photo(s).";"{item:$subject} ha aggiunto {var:$count} foto."
"{item:$subject} has been made an officer for the group {item:$object}";"{item:$subject} has been made an officer for the group {item:$object}"
"{item:$subject} posted a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}"
"{item:$subject} replied to a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} replied to a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}"
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on."
"{item:$subject} has invited you to the group {item:$object}.";"{item:$subject} has invited you to the group {item:$object}."
"{item:$subject} has requested to join the group {item:$object}.";"{item:$subject} has requested to join the group {item:$object}."
"Your request to join the group {item:$subject} has been approved.";"Your request to join the group {item:$subject} has been approved."
"You were promoted to officer in the group {item:$object}.";"You were promoted to officer in the group {item:$object}."
"_EMAIL_NOTIFY_GROUP_ACCEPTED_TITLE";"Group Approved"
"_EMAIL_NOTIFY_GROUP_ACCEPTED_DESCRIPTION";"This email is sent to the member when they are approved to join a group."
"_EMAIL_NOTIFY_GROUP_ACCEPTED_SUBJECT";"La tua richiesta di partecipazione al gruppo [object_title] è stata approvata"
"_EMAIL_NOTIFY_GROUP_ACCEPTED_BODY";"[header]

La tua richiesta di adesione al gruppo ""[object_title]"" è stata approvata. Per visitare la pagina del gruppo, clicca sul link qui sotto:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_GROUP_APPROVE_TITLE";"Group Request"
"_EMAIL_NOTIFY_GROUP_APPROVE_DESCRIPTION";"This email is sent to the member when someone requests to join their group."
"_EMAIL_NOTIFY_GROUP_APPROVE_SUBJECT";"[sender_title] ha chiesto di aderire al gruppo [object_title]"
"_EMAIL_NOTIFY_GROUP_APPROVE_BODY";"[header]

[sender_title] ha richiesto di aderire al gruppo ""[object_title]"". Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_TITLE";"Group Discussion Reply"
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member created."
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_SUBJECT";"Un membro ha risposto alla tua discussione ""[object_title]"" nel gruppo ""[object_parent_title]"""
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_BODY";"[header]

[sender_title] ha risposto alla tua discussione ""[object_title]"" nel gruppo ""[object_parent_title]"":

""[message]""

Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_TITLE";"Group Discussion Response"
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member replied to."
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_SUBJECT";"Un membro ha risposto alla discussione ""[object_title]"" nel gruppo ""[object_parent_title]"""
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_BODY";"[header]

[sender_title] ha risposto alla discussione ""[object_title]"" nel gruppo ""[object_parent_title]"":

""[message]""

Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_GROUP_INVITE_TITLE";"Group Invitation"
"_EMAIL_NOTIFY_GROUP_INVITE_DESCRIPTION";"This email is sent to the member when they are invited to a group."
"_EMAIL_NOTIFY_GROUP_INVITE_SUBJECT";"Sei stato invitato a partecipare al gruppo [object_title]"
"_EMAIL_NOTIFY_GROUP_INVITE_BODY";"[header]

Sei stato invitato a partecipare al gruppo ""[object_title]"". Clicca sul link seguente per accettare o decidere diversamente:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_GROUP_PROMOTE_TITLE";"Group Promotion"
"_EMAIL_NOTIFY_GROUP_PROMOTE_DESCRIPTION";"This email is sent when a member is promoted to officer in a group."
"_EMAIL_NOTIFY_GROUP_PROMOTE_SUBJECT";"Sei stato nominato Amministratore del gruppo [object_title]"
"_EMAIL_NOTIFY_GROUP_PROMOTE_BODY";"[header]

Sei stato promosso Amministratore del gruppo ""[object_title]"". Clicca sul link seguente per vederlo:

http://[host][object_link]

[footer]"
"File Upload";"File Upload"
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"A required file was not found, please be patient and we will fix this.";"A required file was not found, please be patient and we will fix this."
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"Clear List";"Cancella "
"Click ""Browse..."" to select the file you would like to upload.";"Click ""Browse..."" to select the file you would like to upload."
"Add Photos";"Aggiungi Foto"
"_STORAGE_UPLOAD_DESCRIPTION";"Fai clic su ""Aggiungi foto"" per selezionare una foto dal tuo computer. L'upload partirà automaticamente. Al termine di questa fase, potrai salvare o rimuovere l'immagine in oggetto e proseguire.
"
"ITEM_TYPE_STORAGE_FILE";"Files"
"Poll";"Poll"
"Polls";"Sondaggi"
"poll";"sondaggio";"sondaggi"
"poll vote";"voto";"voti"
"Browse Polls";"Sfoglia Sondaggi"
"My Polls";"I Miei Sondaggi"
"Create New Poll";"Crea Nuovo Sondaggio"
"Search Polls:";"Cerca Sondaggi:"
"Browse By:";"Sfoglia per:"
"There are no polls yet";"Non ci sono ancora sondaggi"
"Why don't you %1$screate one%2$s";"Perchè non ne %1$screi uno?%2$s"
"%s vote";"%s voto";"%s voti"
"%s's Polls";"%s Sondaggi"
"Show Questions";"Mostra Questionario"
"Show Results";"Mostra Risultati"
"Add another option";"Aggiungi un'altra opzione"
"Who may see this poll?";"Chi può vedere questo sondaggio?"
"Who may post comments on this poll?";"Chi può commentare questo sondaggio?"
"View All Polls";"Vedi tutti i sondaggi"
"Poll Title";"Titolo del Sondaggio"
"Possible Answers";"Possibili Risposte"
"Create Poll";"Crea Sondaggio"
"Create your poll below, then click ""Create Poll"" to start your poll.";"Crea il tuo sondaggio qui di seguito, quindi fare clic su ""Crea Sondaggio"" per pubblicarlo."
"You have already voted on this poll, and are not permitted to change your vote.";"You have already voted on this poll, and are not permitted to change your vote."
"You must provide at least two possible answers.";"È necessario fornire almeno due risposte possibili."
"The poll you are looking for does not exist or has been deleted.";"The poll you are looking for does not exist or has been deleted."
"ADMIN_ACTIVITY_TYPE_POLL_NEW";"Quando viene creato un nuoco sondaggio."
"ADMIN_ACTIVITY_TYPE_LIKE_POLL";"Quando a qualcuno piace un mio sondaggio."
"ADMIN_ACTIVITY_TYPE_LIKED_POLL";"Quando qualcuno commenta un sondaggio che mi piace."
"ADMIN_ACTIVITY_TYPE_COMMENT_POLL";"Quando qualcuno commenta uno dei miei sondaggi."
"ADMIN_ACTIVITY_TYPE_COMMENTED_POLL";"Quando qualcuno commenta un sondaggio che ho commentato."
"_ACTIVITY_ACTIONTYPE_POLL_NEW";"Quando creo nuovi sondaggi"
"_ACTIVITY_ACTIONTYPE_COMMENT_POLL";"Commenti sui tuoi sondaggi"
"ACTIVITY_TYPE_POLL_NEW";"Quando viene creato un nuovo sondaggio."
"ACTIVITY_TYPE_LIKE_POLL";"Quando a qualcuno piace un mio sondaggio."
"ACTIVITY_TYPE_LIKED_POLL";"Quando qualcuno commenta un sondaggio che mi piace."
"ACTIVITY_TYPE_COMMENT_POLL";"Quando qualcuno commenta uno dei miei sondaggi."
"ACTIVITY_TYPE_COMMENTED_POLL";"Quando qualcuno commenta un sodaggio che ho commentato."
"POLL_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Polls";"Consenti la visualizzazione dei sondaggi"
"POLL_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Vuoi che i sondaggi siano visualizzati dagli iscritti? Se imposti su no, alcune impostazioni in questa pagina potrebbero non essere applicabili."
"No, do not allow polls to be viewed.";"No, non consento di visualizzare i sondaggi."
"Yes, allow viewing of polls.";"Sì, consento la visualizzazione dei sondaggi."
"Yes, allow viewing of all polls, even private ones.";"Sì, per consentire la visualizzazione di tutti i sondaggi, anche quelli privati."
"Allow Deletion of Polls?";"Consentire l'eliminazione di sondaggi?"
"POLL_FORM_ADMIN_LEVEL_DELETE_DESCRIPTION";"Do you want to let members delete polls? If set to no, some other settings on this page may not apply."
"No, do not allow members to delete their polls.";"No, do not allow members to delete their polls."
"Yes, allow members to delete their own polls.";"Yes, allow members to delete their own polls."
"Yes, allow members to delete all polls.";"Yes, allow members to delete all polls."
"Allow Polls?";"Allow Polls?"
"Do you want to allow members to create polls?";"Do you want to allow members to create polls?"
"No, do not allow this member level to create polls";"No, do not allow this member level to create polls"
"Yes, allow this member level to create polls";"Yes, allow this member level to create polls"
"Poll Privacy";"Poll Privacy"
"POLL_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their poll. If you do not check any options, everyone will be allowed to view polls."
"Poll Comment Options";"Poll Comment Options"
"POLL_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their poll. If you do not check any options, everyone will be allowed to post comments on the poll."
"POLL_FORM_ADMIN_GLOBAL_POLLPUBLIC_DESCRIPTION";"Select whether or not you want to let the public (visitors that are not logged-in) to view the following sections of your social network. In some cases (such as Profiles, Blogs, and Albums), if you have given them the option, your users will be able to make their pages private even though you have made them publically viewable here. For more permissions settings, please visit the General Settings page."
"Yes, the public can view polls unless they are made private.";"Yes, the public can view polls unless they are made private."
"No, the public cannot view polls.";"No, the public cannot view polls."
"Polls Per Page";"Polls Per Page"
"How many polls will be shown per page? (Enter a number between 1 and 999)";"How many polls will be shown per page? (Enter a number between 1 and 999)"
"Delete Poll?";"Delete Poll?"
"Are you sure that you want to delete this poll? It will not be recoverable after being deleted.";"Are you sure that you want to delete this poll? It will not be recoverable after being deleted."
"POLL_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the polls your users have posted. You can use this page to monitor these polls and delete offensive material if necessary."
"There are no polls created yet.";"Ancora non sono stati creati sondaggi."
"Your poll has been deleted.";"Your poll has been deleted."
"A maximum of %s options are permitted.";"A maximum of %s options are permitted."
"Are you sure that you want to delete this Poll? This action cannot be undone.";"Are you sure that you want to delete this Poll? This action cannot be undone."
"Change Vote?";"Change Vote?"
"Do you want to permit your members to change their vote?";"Do you want to permit your members to change their vote?"
"Yes, members can change their vote.";"Yes, members can change their vote."
"No, members cannot change their vote.";"No, members cannot change their vote."
"There are no polls yet.";"Non ci sono ancora sondaggi."
"Show this poll in search results";"Mostra questo sondaggio nei risultati delle ricerche"
"Polls Plugin";"Polls Plugin"
"Manage Polls";"Gestione Sondaggi"
"Maximum Options";"Maximum Options"
"How many possible poll answers do you want to permit?";"How many possible poll answers do you want to permit?"
"Allow Viewing of Polls?";"Consenti la visione dei sondaggi?"
"Allow Editing of Polls?";"Allow Editing of Polls?"
"Do you want to let members edit polls? If set to no, some other settings on this page may not apply.";"Do you want to let members edit polls? If set to no, some other settings on this page may not apply."
"Yes, allow members to edit their own polls.";"Yes, allow members to edit their own polls."
"No, do not allow members to edit their polls.";"No, do not allow members to edit their polls."
"Allow Commenting on Polls?";"Allow Commenting on Polls?"
"Do you want to let members of this level comment on polls?";"Do you want to let members of this level comment on polls?"
"Yes, allow members to comment on polls.";"Yes, allow members to comment on polls."
"No, do not allow members to comment on polls.";"No, do not allow members to comment on polls."
"Profile Polls";"Sondaggi del Profilo"
"Delete Poll";"Delete Poll"
"Edit Privacy";"Edit Privacy"
"Everyone's Polls";"Tutti i Sondaggi"
"Only My Friends' Polls";"Solo Sondaggi Di Amici"
"All Polls";"Tutti i Sondaggi"
"Only Open Polls";"Solo Sondaggi Aperti"
"Only Closed Polls";"Solo Sondaggi Chiusi"
